Atthasālinī	胜义说
Attā	我
Buddha	佛陀
Mahā	大
Pathavī	巴踏威
Patisam	无碍解道
Sam	相应部
Samyutta	相应部
Sutta	经
Visuddhi Magga	《清净之道》
Visuddhimagga	《清净道论》
anicca	无常
anupālanakicca	维持的功能
appanā	安止
arahat	阿拉汉
arahatta	阿拉汉
arūpa	非色
avijjā	无明
avikkhepa	不散乱
base	词典源型
bhāva	有
bhāvanā	修习
bhūta	众生
byappanā	极安止
cakkhu	眼
cetanā	思
citta	心
cittassa	心
cittassekaggatā	心的一境性
cittekaggatā	心一境性
dhamma	法
ekaggatā	一境性
indriya	根
janaka	生
javana	速行
jhāna	禅那
jīvita	命
jīvitindriya	命根
kamma	业
kattu	施动者
khandha	蕴
kicca	作用
kiccarasa	功能性影响
kusala	善
kāma	欲
kāmāvacara	欲界
kāra	字
lokuttara	出世间
magga	道
manasikāra	作意
meditator	禅修者
milinda	弥林德
milindapañha	弥林达问
mūla	根本
nibbāna	涅槃
nikāya	部
nimitta	相
nāgasena	龙军
nīvarana	盖
parinibbāna	般涅槃
pavatta	生命期间
pañcadvārāvajjana	五门转向
paññā	慧
phala	果
phassa	触
rasa	作用
ratana	动张
rūpa	色
sacca	谛
saddhā	信
samatha	止
sammāsambuddha	正自觉者
sampatti	成就
sampattirasa	效果影响
sampayutta	相应
samuppāda	集起
samādhi	定
sati	念
satta	有情
suta	闻
sāvaka	弟子
udayabbaya	生灭
uddhacca	掉举
upatthambhaka	支持
uppāda	生起
upāda	所造
upādāna	取
utu	季节
vatthu	依处
vedanā	受
vicāra	伺
visuddhi	清净
vitakka	寻
vitakko	思考
vīriya	精进
vīthi	心路
yogī	禅修者
āhāra	食
āyūhana	加行
