Abhidhamma	阿毗达摩
Anattalakkhaṇa Sutta	《无我相经》
Aniyata	不定性
Attā	我
Bhikkhus	诸比库
Buddha	佛陀
Dhammānupassanā	法随观
Lakkhaṇa	特相
Mahā	大
Mahāṭī	大义疏
Mama	我的
Mūlaṭīkā	根本复注
Paṭisambhidā magga	无碍解道
Rūpakammaṭṭhāna	色业处
Sam	相应部
Samyutta	相应部
Samādhi Sutta	《定经》
Sutta	经
Thera	长老
Vedanānupassanā	受随观
Visaya	（所缘）境
Visuddhi Magga	《清净之道》
adukkha	不苦
adukkhamasukha	不苦不乐
ajātasattu	未生怨
akaniṭṭha	色究竟
anatta	无我
anatta lakkhaṇa	无我相
anatta lakkhaṇa sutta	《无我相经》
anattalakkhaṇa	无我相
anattānupassanā	无我随观
anattānupassanā ñāṇa	无我随观智
anicca	无常
aniccalakkhaṇa	无常相
aniccānupassanā	随观无常
anāsava	无漏
arahant	阿拉汉
arūpasattaka	七非色
asubha	不净
asubhabhāvanā	不净修习
atta	我
avipāka	非果报
aviññāṇaka	无意识的
aṭisambhidā Magga	《无碍解道》
bahiddhā	外
base	词典源型
bhagavā	世尊
bhava	有
bhikkhave	诸比库
bhikkhu	比库
bhāvanā	修习
brahma	梵天神
brahmavihāra	梵住
bāhira	外在
cakkhusamphassajā cetanā	眼触生思
caraṇa	行
cetanā	思
cittajarūpa	心生色
dassana	洞见
deva	神
devadatta	天赐
dhamma	法
dhātu	界
domanassa	忧
dosa	瞋
dosasahagata	嗔俱
duka	二分（法）
dukkha	苦
dukkha sacca	苦圣谛
dukkhadukkha	苦苦
dukkhānupassanā	苦随观
dukkhānupassanā ñāṇa	苦随观智
dvihetuka	二因的
dvāra	门
dūra	远
ekadesa	一部分
gantha	系
hoti	发生
hīna	劣
indriya	根
javana	速行
jhāna	禅那
jāti	生
jīvitindriya	命根
kalāpa	色聚
kalāpa sammasana	聚思惟
kalāpasammasana	聚思惟
kamma	业
kammaṭṭhāna	业处
kasiṇa	遍
khandha	蕴
kho	的确
kilesa	烦恼
kilesā	染
kiriya	唯作
kiñci	任何
koṭṭhāsa	身分
kusala	善
kāla	咖拉
kāraka	施动者
kāyānupassanā	身随观
lokavidū	知解世界者
lokiya	世间的
lokuttara	出世间
magga	道
magga ñāṇa	道智
maggāmagga ñāṇa dassana visuddhi	道非道智见清净
mahaggata	广大
mahāṭīkā	大复注
majjhima	中
majjhima nikāya	中部
manasikāra	作意
meditator	禅修者
meghiya	美奇亚
micchattaniyata	邪性定
moggallāna	摩嘎喇那
naya	法
nayavipassanā	理法观
nibbāna	涅槃
niddesa	广释
nikāya	部
nimitta	相
nirāmisa	离染
niyata	决定
nāmakammaṭṭhāna	名业处
nīvaraṇa	盖
obhāsa	光明
ogha	瀑流
pajānāti	了知
pana	此外
pariggaha	摄受
pavatta	生命期间
payoga	精勤 / 加行
paññatti	概念
paṇīta	殊胜
paṭibhāga	相似
paṭicca	缘
paṭikūla	可厌
paṭikūlamanasikāra	厌恶作意
paṭisambhidā	辨析
paṭisandhi	结生
phassa	触
pubbabhāga	前分
puggala	个体
pāli	巴利语
rasa	作用
rūpa	色
sabhāva	本质
sacca	谛
sadda	声音
samatha	止
sammasana	思惟
sammasana ñāṇa	思惟智
sammā	正
samudaya	集
samudaya sacca	苦因圣谛
samuppāda	集起
samādhi	定
samāpatti	等至
samūhaghana	组合密集
santika	近
santāna	相续流
satipaṭṭhāna	念处
saviññāṇaka	有意识的
saññā	想
saññī	有想的
saññībhava	想有
saṅkhāra	行
saṅkhāradukkha	行苦
sugata	善至
sukha	乐
sukhuma	细
suttanta	经
sāmī	主人
sāsava	有漏
taṇhā	渴爱
tihetuka	三因者
udāna	《感慨》
upadhi	再生的基质
upakkilesa	随烦恼
upekkhā	舍
uppāda	生起
upādāna	取
upādānakkhandhā	取蕴
vavatthāna	差别
vedaka	受者
vedanā	受
vicāra	伺
vipassanā	观
vipatti	失坏
visuddhi	清净
vitakka	寻
viññāṇa	识
vāra	界限
yevāpanaka	不论何法
yoga	轭
ñāṇa	智
ānāpāna	入出息
āsava	漏
āyatana	入处
ṭhiti	住
