-in	具有……者
Buddha	佛陀
Catukka	四法
Dhammānupassanā	法随观
Lakkhaṇa	特相
Mahāṭī	大义疏
Nissaya	依词释
Sam	相应部
Visaya	（所缘）境
Visuddhimagga	《清净道论》
abhinivesa	黏着
adukkha	不苦
ahetuka	无因
akusala	不善
akusala citta	不善心
anubhavana rasa	领纳作用
appana	安止
asukha	不乐
attha	目的状语
avikkhepa	不散乱
base	词典源型
bhikkhave	诸比库
brahma	梵天神
cetana	思考
cetasika	心所
cetasika sukha	心乐
citta	心
dhamma	法
domanassa	忧
dosa	瞋
dukkha	苦
hadaya vatthu	心所依处色
idha	于此
issa	嫉妒
javana	速行
kukkucca	追悔
kusala	善
lokiya	世间的
lokuttara	出世间
mahaggata	广大
majjhatta	中庸
mana	意
meditator	禅修者
naya	法
nibbāna	涅槃
nimitta	相
paccaya	缘
paccupaṭṭhāna	现起
padaṭṭhāna	足处
paduma	红莲
paramaṭṭha	究竟
parikamma	遍作
parikappa	预谋
passaddhi	轻安 / 平静
patibhaga nimitta	似相
phassa	触
phusana	碰触
piti	喜
pāli	巴利语
rasa	作用
sabhava	自性
sadda	声音
samatha	止
sampayutta	相应
samudaya	集
somanassa	悦
sukha	乐
tatramajjhattata	中舍性
tejo	火
upekkha	舍
upekkhako ca viharati	舍住
uppala	青莲
uppanna	已生
vata	仪式
vatta	行仪
vatthu	依处
viharati	住
vipassana	观禅
vippayutta	不相应
visuddhi	清净
vitakka	寻
vutti	习惯
yassa	名誉
